Running PHP script...
Connected to database.
Current Time: 15:33:02 05-03-2025
Starting game ID: 36
Called number: 38
Called number: 49
Called number: 93
Called number: 27
Called number: 79
Called number: 81
Called number: 46
Called number: 47
Called number: 84
Called number: 45
Called number: 67
Called number: 85
Called number: 69
Called number: 68
Called number: 1
Called number: 34
Called number: 29
Called number: 64
Called number: 31
Called number: 53
Called number: 21
Called number: 10
Called number: 70
Called number: 83
Called number: 82
Called number: 89
Called number: 56
Called number: 60
Called number: 54
Called number: 16
Called number: 55
Called number: 98
Called number: 23
Called number: 15
Called number: 96
Called number: 11
Called number: 39
Called number: 4
Called number: 36
Called number: 65
Called number: 26
Called number: 78
Called number: 76
Called number: 40
Called number: 95
Called number: 30
Called number: 77
Called number: 94
Called number: 18
Called number: 2
Called number: 3
Called number: 50
Called number: 25
Called number: 97
Called number: 14
Called number: 24
Called number: 59
Called number: 61
Called number: 62
Called number: 99
Called number: 92
Called number: 63
Called number: 90
Called number: 88
Called number: 28
Called number: 51
Called number: 41
Called number: 75
Called number: 17
Called number: 71
Called number: 74
Called number: 35
Called number: 32
Called number: 43
Called number: 8
Called number: 9
Called number: 44
Called number: 80
Called number: 12
Called number: 86
Called number: 72
Called number: 33
Called number: 7
Called number: 48
Called number: 42
